Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Erro absoluto médio da distância entre os pés em metros,Desvio padrão da distância inicial entre os pés,Desvio padrão do erro da distância inicial entre os pés em metros,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7500,21.00,0,1.1988,28.6292,0.9749,0.1119,0.1119, 0.08,0.0888,0.0922,0.0871,0.4888,0.1528,0.1445,0.1126, 0.5533,0.2143,0.1837,0.1837,0.5931,0.2601,0.2064 ,0.2064,0.1810, 0.0905,12.4945,14.0901,347,-7.591024385820149,54.44218684224766,21.400402994554753,19.4032872440188,14.310867315634566,14.228967084790419,-1.3942102906439455,14.28324522025313,0.8821743439772287,0.29943890552867247,0,,
1.7650,20.00,0,0.8661,8.3773,0.5000,0.5000,0.5000, 0.39,0.1659,0.0091,0.1773,0.5207,0.0757,0.4093,0.1861, 0.8540,0.4240,0.2065,0.2065,1.0000,0.5400,0.0000 ,0.0000,0.1750, 0.0875,7.4726,11.1272,37,-18.427014339190187,55.86131874319,25.11634423243652,29.522004649048366,18.12017737922803,15.187485971471698,-22.406193200586905,22.44579924925337,0.28097647326535286,0.28097647326535286,0,,
1.7650,20.00,0,1.1892,18.1559,0.7963,0.4659,0.4659, 0.32,0.1533,0.0217,0.1538,0.5658,0.1208,0.3219,0.1701, 0.8015,0.3715,0.2006,0.2006,0.9058,0.4458,0.1632 ,0.1632,0.1750, 0.0875,13.2710,15.3945,51,-18.578624213852912,60.409390021469534,27.34634804237336,27.04931064678349,16.02537610146785,12.83093495352348,-19.488331218332352,21.118399179553563,0.5317995797228382,0.42244089979355665,0,,
1.7650,20.00,0,1.2687,24.9522,0.9561,0.3979,0.3979, 0.25,0.1456,0.0294,0.1413,0.5610,0.1160,0.2738,0.1711, 0.7621,0.3321,0.1959,0.1959,0.8233,0.3633,0.2202 ,0.2202,0.1750, 0.0875,15.3192,15.8717,62,-18.325795151784508,61.318154346015504,24.354603599667332,24.535932599435547,19.73798006165519,17.72451843234521,-18.94932247973463,20.044490263147836,0.7051639191452962,0.47329464175495156,0,,
1.7650,20.00,0,1.3198,29.6180,1.0007,0.3608,0.3608, 0.22,0.1445,0.0305,0.1308,0.5492,0.1042,0.2443,0.1710, 0.7092,0.2792,0.2145,0.2145,0.7813,0.3213,0.2220 ,0.2220,0.1750, 0.0875,16.2605,15.5070,73,-20.03335254424553,60.64495703494829,28.03852272757468,24.496523969841643,18.940651138315406,16.410446649287845,-18.288770927062224,19.026781038354844,0.7197876213506131,0.4243367353834894,0,,
1.7650,20.00,0,1.4012,35.6195,1.0347,0.3191,0.3191, 0.19,0.1411,0.0339,0.1275,0.5589,0.1139,0.2220,0.1557, 0.6922,0.2622,0.2029,0.2029,0.7575,0.2975,0.2136 ,0.2136,0.1750, 0.0875,17.4424,15.8083,78,-13.371689392525452,63.963065801565726,28.03852272757468,24.496523969841643,18.940651138315406,16.410446649287845,-16.704194442274044,19.3798887800605,0.7599466010001138,0.39763690187034073,0,,
1.7650,20.00,0,1.4432,37.3384,1.0497,0.2315,0.2315, 0.15,0.1330,0.0420,0.1205,0.5578,0.1128,0.2042,0.1468, 0.6756,0.2456,0.1948,0.1948,0.7309,0.2709,0.2118 ,0.2118,0.1750, 0.0875,18.4034,15.9444,91,-12.794591277569742,63.0158706156468,28.03852272757468,24.496523969841643,18.940651138315406,16.410446649287845,-16.496176635055214,18.26661179813372,0.7979657472848171,0.3797367066631074,0,,
1.7650,20.00,0,1.1704,27.3919,1.0990,0.1570,0.1570, 0.10,0.1072,0.0678,0.1069,0.5549,0.1099,0.1910,0.1410, 0.6550,0.2250,0.1927,0.1927,0.7142,0.2542,0.2052 ,0.2052,0.1750, 0.0875,14.8954,15.3655,147,-15.87506222101895,58.65830072235134,27.529820916844642,24.09048316554682,17.449433228127972,15.61485804915219,-8.150911745098012,20.0076292147281,0.8038369472856486,0.3555506539370633,0,,
1.7650,20.00,0,1.2247,29.0635,1.1006,0.1530,0.1530, 0.10,0.1059,0.0691,0.1028,0.5543,0.1093,0.1809,0.1361, 0.6378,0.2078,0.1900,0.1900,0.7045,0.2445,0.1968 ,0.1968,0.1750, 0.0875,15.5993,15.5007,160,-14.699722353392962,59.36902229266386,24.61693536515943,23.061814940189315,19.54727596788487,16.907199100584165,-6.530136657085029,20.350031936885195,0.8013972546423566,0.3352873877295475,0,,
1.7650,20.00,0,1.2645,32.1196,1.1004,0.1504,0.1504, 0.09,0.1051,0.0699,0.1018,0.5593,0.1143,0.1717,0.1287, 0.6347,0.2047,0.1814,0.1814,0.6950,0.2350,0.1901 ,0.1901,0.1750, 0.0875,16.1269,15.7079,164,-15.788345420661974,59.35123508776114,24.598874646967523,22.875511437016407,19.594065983618954,16.7742776493237,-5.660657951896022,20.857254438870612,0.821975670283024,0.3240171443704394,0,,
